text	label
Emmanuel Lechypre (BFMTV) dérape en direct : « On vous vaccinera de force, moi je vous ferai emmener par deux policiers au centre de vaccination. Faut aller les chercher avec les dents et avec les menottes s’il le faut ! » https://t.co/ZFrYHfb0Pg via @TVLibertés	3
URGENT/ Pour trois décès évités par la vaccination, nous devons en accepter deux infligés par la vaccination(données certifiées). – LE BLOG DE PATRICE GIBERTIE https://t.co/gpBgR7sRlw	2
Vaccination certificate Dose 1st https://t.co/jnmGRlsr5l	1
"Le lancement officiel de  la 16ème édition  de la campagne de vaccination contre la poliomyélite se tiendra dans le district d'Ankazobe le Lundi 28 juin prochain. Ensemble, prenons des mesures  pour prévenir le retour de la polio.
#STOP_POLIO https://t.co/Iy6Eb5L6Mw"	4
Si les préfectures, tribunaux et autres sournoiseries administratives étaient aussi bien organisés et efficaces que les centres de vaccination la vie serait plus apaisée en France. Bon OK ça doit coûter cher. Wait ?! Ça pourrait créer des emplois et améliorer la réactivité...	1
"Les témoignages des drames post-vaccination s’accumulent chaque heure. Halte à la désinformation médiatique sauce @BFMTV,  @LCI and co propagandistes de Gouvernement corrompu, ""élu"" par l'oligarchie.  https://t.co/qcFRaFcOGH #Actualités"	2
Il y en a qui sont prêt à payer 450€ un faux certificat de vaccination 😭😭	3
"Après les personnels soignants et les plus de soixante ans, ce sont les personnels enseignants qui sont prioritaires pour la vaccination en Afrique du Sud. 
Exactement comme en Fr... ah, non, pardon...

https://t.co/fgqrzqLFm2"	1
CHRONIQUE LITTERAIRE DU PROF YOKA : « VACCINATION.  A  QUI  LE  TOUR ? » https://t.co/U600q0k4jC https://t.co/wV0GxWVt1H	4
"Le port du masque qu'on supprime comme ça du jour au lendemain. Mais quelle mascarde, quel foutage de gueule.  Remercions les saintes élections, parce que le masque on l'aurait eu jusqu'aux présidentielles.
Stopper la vaccination, ils peuvent aussi, on est preneur. 🇨🇵👊"	2
L'app CovidSafe est disponible ! Vous y trouverez votre certificat de vaccination. 💉 - https://t.co/L5uCWKjltt	1
"Vaccination contre RSA, 
Vaccination contre allocation familiale 
Vaccination contre voyage en train et avion. 
La liberté n'est pas de faire n'importe quoi. La liberté s'accompagne d'une responsabilité sociale sinon elle n'a pas de sens."	4
J’ai reçu ma première dose 🥳 #Pfizer #vaccination #vaccinated #malaubras	1
force à toutes les personnes qui travaille dans les vaccinodrome/ centre de vaccination surtout avec la chaleur qui fait	1
"@KambingaG @MartinFayulu 
Pour ce vaccinnér à la Clinique Diaman ou HJ,il faut payer 25$ de Consultation,si besoin de Certificat 20$=45$ vraiment de quoi la vaccination est elle gratuite ?
@OMSRDCONGO @OMS_Afrique @NgobilaM @MTamfum @StanysBujakera @kabund_jmkkrock"	1
"En infographies | Le #Dispositif_de_confinement mis en place au Gabon, pour les passagers internationaux non-vaccinés.

#DispositifDeConfinement #PassagersInternationaux #Gabon #StopCovid19 #Vaccination  #OneGabon https://t.co/f3gRvcdoKR"	3
"Seule la moitié des personnes souffrant d'obésité ont reçu une première dose de vaccin alors qu'ils représentaient la moitié des patients en réanimation au mois d'avril dernier. Une situation qui inquiète les autorités sanitaires, via @Le_Figaro 
https://t.co/21qllV1Dyw"	3
"Aujourd’hui j’ai reçu ma 2️⃣ème dose de #vaccin contre la #COVID19 au centre de vaccination de la mairie de @montpellier_ 

👏🏻 Merci au personnel soignant qui se mobilise tous les jours ! 

Ensemble, luttons pour vaincre cette pandémie ! 🦠 https://t.co/MHUoK1bfiu"	1
Les importations chinoises accélèrent encore. Cela provoque une impulsion chaque mois un peu plus forte sur la croissance du reste du monde. L'optimisme global s'explique par cette dynamique chinoise. La forte vaccination permet de solidifier ce momentum plus robuste. Tant mieux. https://t.co/XAXZrEaK6D	4
Nice day at vaccine center...busy. Bonne journée au centre de vaccination....occupé https://t.co/HdyzFyrkK9	1
"#FRANCE–Covid-19 : Emmanuel MACRON a annoncé ce mercredi 02 juin que les adolescents de 12 à 18 ans auront accès à la vaccination à partir du 15 juin. 

Pour l'instant, la vaccination est ouverte aux adultes et adolescents d£ plus de 16 ans atteints de certaines maladies graves. https://t.co/z2kvmnIL4N"	3
J'ai réussi à avoir un créneau pour la vaccination !	1
J'ai ma première injection de vaccin jeudi matin et la deuxième le 23 j'ai hâte que ce soit fait j'espère juste pas avoir la tête dans le cul au travail après	1
C’est parce qu’il nous a fait croire qu’il avait fait le vaccin. Mentir rapporte rien de bon	3
J’ai pas vu la fin du match trop k.o a cause du vaccin hier c’est pas je me réveille j’ai un msg de ma collègue qui me dit « demain je t’offre des petits suisses au boulot » 💔😭	1
Bah là on a vu la différence du Mbappé avant et après le vaccin 🤪	3
c’est le vaccin qui l’a fait rater c’est sure y’a pas d’autres solution #FRASUI	3
Chaque jour qui passe nous rapproche inévitablement de la deuxième dose du vaccin.	1
Y en à une elle à fait son vaccin et elle fait grave ça drama queen 😭😭😭😭 @RoronoaLCV	4
Mercredi j’ai ma première dose de vaccin😬	1
"Énorme malaise à mon deuxième vaccin, le médecin me demande si ça s’est bien passé la première fois avant de rajouter « la première fois du vaccin hein pas l’autre première fois ! Elle s’est bien passé aussi ? » 
J’ai pas répondu et là il me sort « faut bien rigoler ! » ?? Non ??"	1
"6 jours après mon 1er vaccin COVID-19.
Toujours des forts symptômes.
Fièvre, mal de tête, vertige, courbatures et surtout grosse fatigue...
Donc mot d'ordre c'est : repos ! Repos ! Repos.
J'appréhende déjà pour le second 🙈🙉"	1
"Woah. Je comprends encore mieux pourquoi je dis non à leurs piqûres. 🤔😮
 https://t.co/ajtAWs5OdU"	2
Combo gueule de bois + vaccin je vais crever	1
"Vaccin covid19 numéro 2 fait . 
Bras douloureux fait ."	1
Y’a pas à avoir un mal de crâne horrible toute la journée a cause du vaccin	4
deuxième dose de vaccin c’est faaaaait	1
la deuxième dose du vaccin elle est incroyable, on dirait je me suis pris des béquilles	1
"Ah oui, mes effets secondaires à J + 18H, j'allais oublié #vaccin #VaccinationCovid 
J'ai une légère douleur à l'épaule. Je n'arrive pas à faire tenir des cuillères sur mon épaule. J'ai fait un par -7 au premier 18 trous de Mario Golf.
Vala"	1
Castex, idiot utile de Big Pharma, c'est le vaccin qu'il faut craindre, pas le virus ! https://t.co/C6D4jE4Pvv via @Resistance_R	2
Ptn j'ss avec ma grand-mère elle crache sur le vaccin en disant que les gens qui se font vacciner pour le covid sont débile, onom j'me fais vacciner la semaine prochaine j'ss en train de me faire toute petite frr laisse les gens faire ce qu'ils veulent	1
J’espère pas finir aimanté comme Abdul et Joseph Joestar après ce vaccin	3
"François Pignon : ”Ayez peur du virus, surtout pas du vaccin”.
Dans la vraie vie réelle, c’est l’inverse.
https://t.co/x7wRWAJTig"	2
J’suis le seul ici qui ai plutôt bien vécu sa deuxième dose de vaccin ?	1
"C'est parti pour 4 jours de ""AÏE, MON VACCIN"""	1
M. Martin Blachier nous prend pour des demeurés: il suffit de rendre le vaccin #COVID19 obligatoire pour que nous arrêtions de nous poser la question si c'est bien ou pas... Arrêtez de réfléchir, vous ne pouvez pas penser par vous-même! https://t.co/jD3mmJLKff	3
[Bande dessinée]💉Lutte contre la #tuberculose. 2020-2021, année de la BD. L’opération initiée par le @MinistereCC a donné des idées au #Clat71, à la @MSAFRANCHECOMTE et à l’@AseptFCB. Ils viennent de créer une #BD pour promouvoir le #BCG #vaccin▶️https://t.co/cDGQqTM8ZY https://t.co/zsixmRqeZ3	4
bonjour @Dr_moji j ai une question j  ai eu la covid en mois de septembre dernier... et j ai fait mon  premier vaccin le 13 mars et l infirmière ma dit fait le deux mai moi pas envie car j ai eu la covid fort que faire merci	1
Y a que moi pour passer à 2 doigts de l'épanouissement en voyant l'aiguille du vaccin 🧍🏻‍♂️😭😭	1
Aujourd'hui première dose du vaccin et je retourne ENFIN au cinéma purée ça m'avait manqué 🥺	1
Qui pour masser mon bras plein de courbatures a cause du vaccin ?	1
"En Inde, Modi prône le yoga et un esprit sain dans un corps vaccin https://t.co/5aNfg7tar4 

Et allez,le merdier continue,le premier ministre indien
nationaliste préconise le yoga contre le Covid 19,(en
passant le Sars-cov 2),tel est son vrai nom.Bienvenue
chez ce dingue.🙄"	1
Écouter Another Day pour se calmer et se persuader que le vaccin ne va pas me tuer ou me donner des gros effets secondaires since j'ai des révisions en cours ☝️😩😩	1
Dite vou g un pote pour pouvoir allez en boîte il a acheter son vaccin sur SNAPCHAT mdrrr https://t.co/Rl61Cabwa3	4
On veut rendre le vaccin obligatoire commencons plutôt par l'obligation de voter il y va de notre démocratie !	3
le vaccin i mfzit d allergies là putain	1
"Mais c'est quoi sont délire d'hépatite B dans le vaccin du covid ?? J'ai cherché j'ai rien trouvé a ce sujet. ""Y en a qui disent"", ouais fin après ""y en a qui disent"" qu'il y a une puce dans le vaccin, si elle commence a croire n'importe qui 🤦🤷 #auroregambin"	1
Fuck le vaccin et les regles, je suis en train de mourir alors que j'ai JAMAIS eu mal nul part pdt mes regles	2
Sama mbaaag bagui meti 😭😭 Esk d’où puce 5G bi neek si vaccin yi mooy coaguler 😭😭	4
Deja 30min de retard pour le vaccin je suis au bdr	1
"Et ce con de Veran veut ouvrir les discothèques ??????

franceinfo: Covid-19 : cinq questions sur le variant Delta, dont le nombre de cas augmente chaque semaine en France.
https://t.co/TdpChxFc03

via @GoogleNews"	3
et je me tape une demie heure de marche pour le vaccin je veux caner	1
jai fais le vaccin jcrois mon bras il va tombe sa fais trop mal	1
Je suis anti vaccin, ou puis je me procurer le traitement hydroxichloroquine-zinc qui fonctionne très bien	2
@hamonjeanpaul Bonjour docteur, j'ai une question à vous posez. J'ai entendu parler du vaccin Sanofi/Pasteur en partenariat avec GSK que la phase 2 a rendu des signes positifs. Est ce cela vaut le coup d'attendre se candidat vaccin en fin d'année?	3
2 contrôle lors de 2 barrages entre Casa et Rabat, et les 2 ont demandé l'autorisation de déplacement,  je réponds que j'ai mon pass vaccin, ils ne le vérifient pas, et me laissent passer	1
bah c’est officiel entre mon oral et le vaccin je pense mourir avant lundi	4
Si on peut pas faire le vaccin pour causes médicales comment on fait pour voyager ??	3
j’ai eu mon vaccin hier et j’ai trop mal au bras ce matin, je peux donc pas passer mon bac de philo mince	1
Première dose du vaccin hier et le ptit mal de bras ça va être jolijoli au boulot avec les cartons	1
Faut manger avant la vaccin? (Si j’ai rien mangé de la journée 💀)	1
"Une 2e dose de vaccin mérite-t-elle ceci? 
#doute #maistentant https://t.co/9vKaxeMLmg"	3
Je sais pas si c’est le vaccin ou si c’est le match qui me met ko là mais je suis bien ko donc dites aux italiens de proposer du jeu là ça devient épuisant de voir que les turcs jouer au foot	1
y'a des gens qui ont eu leur 1ere dose du vaccin? si oui, vous avez des symptômes? et si oui, ils durent cb de temps mdr?	2
Pour aller au Portugal cette été faut faire le vaccin ?	3
"J’AI PERDUE LE GOÛT AVEC MA PREMIÈRE DOSE DE VACCIN JE SUIS PAS D’ACCORD 

La viande c’est degueulace"	1
Le vaccin janssen je recommande vraiment pas	1
"Première injection Pfizer 💉✅
Elle marche de ouf la 5G du vaccin, vivement le prochain stream ! #COVID19 #Pfizer #5G  #humour https://t.co/LUWwWhvNQI"	1
peut-être que faire la fête et une nuit blanche le jour de mon vaccin n était pas ma meilleure idée je pense que mon cœur est en train de ragequit	1
si le maroc rend obligatoire le vaccin covid et en plus datant d'au moins de 4 semaines depuis la deuxième dose, personne va y aller, autant rester fermé pourquoi nous faire nous ruiner pour acheter les billets.	3
Le vaccin il m’a mise en pls alors que ça fait même pas 24h	1
Le vaccin il m'a infligé un bon gros German Suplex, jvais canner sah 💀	1
Demain j'ai ma deuxième de vaccin dans deux semaines je pourrais enfin moins angoissée d'avoir une forme grave du covid	1
Gros effet secondaire du vaccin Pfizer... Je vois des cyclistes partout en ville!😀	4
Mdrrr jvais faire le vaccin avant d’aller au bled	1
"Le médecin a demandé si il y'avait des questions, une dame vient de dire  « après le vaccin le téléphone pourra se coller sur mon épaule? »

😂😂😂😂😂 Je sens même qu'elle ne va pas le faire, elle est nerveuse et on lui a dit de bien réfléchir."	3
J’y pense...au vaccin qu’on va m’injecter(je ne sais pas lequel)	1
"Point commun entre les Professeurs Montagnier, Joyeux,  Perronne ..., : anti-vax , ils sont au cœur de la complosphère. 😡
https://t.co/j0HZXVpqe9"	1
moi attendant ma convocation de vaccin ✊🏻 https://t.co/dJdv7CHVkj	1
J’ai enfin pris mon rdv pour le vaccin 🙏🏼	1
Est-ce que quelqu'un sait si on peut faire son rappel de vaccin dans un autre lieu que la 1ere dose et/ou plus tard que 35j ?	1
Mon père m as pris un rendez vous pour le vaccin sans me prévenir #SNK #AttackOnTitan #Covid https://t.co/Ox9mbDcCnl	2
Vaccin Johnson pour moi le 12 🤞	1
jdormais et g eclaté mn crane contre le mur, c le vaccin ça jss sure	3
Bon lundi je vais aller faire le vaccin Pfizer	1
J’ai trop mal au bras depuis le vaccin ptn	3
Que ce vaccin nous soit bénéfique inshaAllah	1
J’veux faire le vaccin juste pour essayer https://t.co/SUhBbVAcJS	1
le combo premier jour de règles - mal de dents - corps affaibli par le vaccin que je me tape est assez impressionnant, j'ai jamais autant souffert je crois.	1
Le vaccin il m’a mis un ko depuis hier, incroyable	1
"À mettre à votre calendrier! 💉☑

https://t.co/kuvJy34Xy7"	1
Et sinon vous croyez que le vaccin fonctionne si on en parle pas sur les réseaux sociaux ?	3
Covid-19, le #Tchad vient de réceptionner sa toute première dose de vaccin  ce 2 juin, à l'aéroport international Djamouss.  Il s'agit d'une dose en provenance de la République populaire de #Chine. #Adjib https://t.co/tOLXhYokSH	3
"Donc pour 0,001% de mort... On va forcer 100% de la population à se faire vacciner. Pour un vaccin qui n'est pas efficace à 100%. 
Combien touchent les états des labos pour l'essai clinique en population générale ? On n'a pas, comme aux USA, de primes pour se faire vacciner."	2
Update vaccin: j'étais fatigué hier et le j'ai mal au bras mais sinon ça va	1
"Dès demain, le tant attendu ""Pass sanitaire"" sera accessible pour TOUS ! 👍 Mais qu'est-ce que c'est au juste ? On fait le point. 🧐

Pour en savoir + sur le Pass Sanitaire, tu peux consulter  notre page Instagram ou Facebook ! 💓
#PassSanitaire #covid19 #passeportvaccinal #santé https://t.co/gKMlq9qDjy"	1
"@GG_RMC 
La Chine n'a qu'à envoyer des vaccins aux pays pauvres."	3
#VaccinationCovid  💉💉 c’est fait pour moi. 😎 https://t.co/C9rjt56AAg	1
Plus de masques en extérieur, pas de masque au taff, les terrasses et j’en passe qui réouvre et d’ici quelques jours le passeport vaccinal, tema l’été de loco qui arrive ici	4
85 lakh vaccinations on Day 1. Kudos!	4
Fauci Says Virus Variants Underscore Importance of Vaccinations: https://t.co/NPfxdENY8o #Fauci #VirusVariants #Vaccinations via @nytimes	3
"2 000 #vaccinations prévues soit un rythme de 1 300 premières injections. 
#nevers #covid19"	3
#JeNeMeVaccineraiPas pour que la sélection naturelle fasse son œuvre.	2
Ça veut pas se faire vacciner ? OK on se reparle en octobre pour un autre confinement, belle été à vous... #JeNeMeVaccineraiPas	1
L'inspectrice des impôts (ouf dernier rdv) me dit qu'ils ont tous été vaccinés de force en quelque sorte sinon c'était dehors !	2
Hum 😳 pourquoi les vaccinés sont ils positifs au Covid-19😰propagande Alex Taylor https://t.co/uYhRwpAaEa	2
C'est quoi la technique pour avoir un créneau de vaccination ? (jamais de dates dispos à Lyon alors qu'autour de moi je vois de plus en plus de vaccinés)	1
"Monsieur le Ministre @SebLecornu, pour quelle raison la Polynésie devrait-elle atteindre les 70 % de vaccinés pour espérer une réouverture, alors que la France n’a pas encore atteint les 13 % ?
Aussi, pourquoi n’avez-vous pas effectué la quarantaine de 10 jours obligatoire ?"	3
imaginez les gens vaccinés peuvent enlever leur masque 😎	1
Article super intéressant concernant le vaccin .. #covid #vaccin  https://t.co/aUMzr3ty7u https://t.co/wsVueAk89a	3
Première fois depuis le début de la pandémie que je suis déçue du point de presse de @francoislegault car je m’attendais au minimum à l’ouverture des terrasses. 3.8 millions de vaccinés (dont moi) et je réside dans Lanaudière mais... on doit encoooore attendre...	1
"@AssalaLamaa 
Bonjour docteur,
Mon épouse a 50 ans et a subie une ablation de l'utérus depuis plus de 5 ans.
Est ce qu'il y a  un risque quelconque si elle se fait vacciner à l'astrazeneca?
Encouragez vous les vaccinés à prendre de l'aspirine 100 pour éviter une thrombose?
Merci"	1
Ecosse : victoire SNP (suite). Victoire due notamment à une partie électorat qui est pro-européen. En dépit de la mauvaise image de l’Europe sur la question des vaccins, ces Ecossais mieux vaccinés que nous grâce à Londres, veulent nous rejoindre. Remarquable.	4
Phuket accueillera les touristes vaccinés à partir de juillet 2021 https://t.co/Pz1YQd52Y6	3
"Vaccinés mais ils attrapent le virus, ils tombent gravement malades et ils décèdent.. 
Mystère à élucider 

Vacunados pero igual:
- contagiados 
- hospitalizados graves
- fallecidos 
Misterio que aclarar 

https://t.co/ldVBgLOWKo https://t.co/DfmlI8a4Rv"	2
"Gabriel Attal : « La France est en tête des grands pays de l’UE par le nombre d’adultes vaccinés ».
A peu près 13 millions à ce jour, soit un adulte sur 4."	1
"En tant que gestionnaire du régime obligatoire et acteur de santé publique, MGEN participe à la campagne ""Aller vers"", qui a pour but d'aider les plus de 75 ans, encore non vaccinés, à trouver un créneau pour se faire vacciner contre la Covid-19 🧪

#MGEN #Normandie #vaccination https://t.co/49YRCEys17"	1
"🆘️ @BrigBourguignon @olivierveran @VincentLena62 @Romain_Brochard @MCazeneuve @LasserreDGCS
Cc @LucBroussy @ElodieBacoup @Annie_De_Vivie 

Ce doc est daté du 16/03, dc postérieur au protocole d'assouplissmt ! Les non vaccinés prennent des risques pr eux-mêmes ! #EhpadPrison ⤵️ https://t.co/pyCqKXzjqe"	1
Vaccine adjuvants | #Vaccines #Adjuvants | Bali Pulendran @stanfordimmuno @StanfordPath @Stanford_ChEMH | Review @NatRevDrugDisc https://t.co/uFkUa11XHZ https://t.co/sPwTUyYZAK	4
@Sante_Gouv Il est temps, rendez-nous nos enfants ! Ils n'ont toujours pas l'autorisation d'intégrer leur famille le week-end alors même qu'ils sont vaccinés. Communiquez avec les différentes ARS... https://t.co/eFvvOM1UrO	1
"Des gens, sur les réseaux sociaux, affirment ne pas vouloir être vaccinés par crainte d'un flicage dû à la présence potentielle de nanoparticules rfid. 
...
· Sur.Les.Réseaux.Sociaux
· Crainte.D'un.Flicage
... https://t.co/4Q0HwGHsOZ"	3
"Hier ,je discute avec des voisins  masqués vaccinés. Ils sortaient de la messe.
Le sujet de 2022 abordé , lui de droite ,elle je ne sais pas .
Et de me dire : Même si MLP est élue, impossible de redresser la France .
Et de conclure : on votera quand même pour elle 🤣🤣🤣🤣"	3
"J'ai toujours émis quelques inquiètudes depuis le début et l'on m'a désigné alarmiste, aujourd'hui les patients vaccinés sont appelés à se rapprocher de leur médecin traitant... 🤔 
https://t.co/YSHZvmd39n"	2
"""Comment devra-t-on réagir si, au sein d'une même famille, certains membres sont vaccinés et d'autres non ?"", s'inquiète Mehdi, employé dans un musée, à propos de la possible mise en place du passeport vaccinal. Via @Le_Figaro @Figaro_Culture 
https://t.co/wLHycRGYFL"	3
Donc il y a 8 millions de Français qui sont vaccinés mais qui 1) doivent porter un masque et 2) qui ne peuvent se déplacer ???  Mais quelle arnaque ! #COVID19 #masques #confinement	2
"""Combien il te reste de vaccins chez toi"" 
-5
""Il y en aura assez pour tout le monde ?""
""Non...""
Au centre de vaccination de molenbeek, il n'y aura pas assez de vaccins aujourd'hui pour vacciner toutes les personnes inscrites. Des gens partent bredouilles sans avoir été vaccinés https://t.co/ckZpfItAMA"	1
@geoffroyboulard les enseignants du 7ème sont vaccinés pourrait-on envisager la même chose dans le 17ème?? #COVID19 #mercipourlesprofs	1
30 cas graves sur 5millions de vaccinés pour l'Astrazeneca. On est sérieux à tous stresser ? Stressons pour le Doliprane non ?	1
30M de vaccines d’ici cet été ?? saison prochaine les stades reouverts ça sent bon la	1
Arrêtez de nous emmerder avec les 30 thromboses pour des millions de vaccinés... La pilule à un taux de 40/100.000 femmes, risques +++ par le tabac ! Et vous continuez à bouffer vos pilules en fumant !! Refusez si vous voulez mais laissez-moi me faire vacciner !! #AstraZeneca	1
Mercredi 17 mars après-midi, les résidents de la RPA Jean Guenier de Grand Bourgtheroulde ont reçu la deuxième dose du vaccin contre la COVID 19. Ils sont donc désormais totalement vaccinés ! Une campagne conduite avec le concours des services de l’État et de @RoumoisSeine https://t.co/YOnAAtBOjs	1
Quand on voit tous les pays qui commencent a stopper la vaccination pour cas de coagulation anormale chez les vaccinés... Ça me conforte bien dans l'idée de ne jamais me faire vacciner pour cette merde	2
Je résume si on arrive pas à vacciner rapidement tous les gens qui souhaitent être vaccinés c’est de la faute de ceux qui ne veulent pas être vaccinés. J’en ai vu passer des excuses foireuses mais alors celle-là 👌🏼#vaccination #Pfizer #AstraZeneca #VaccinationCovid #soignants	3
"Toujours plus loin, toujours plus grave...

https://t.co/0TChuejlT8"	4
"AUCUNE ETUDES .!!
Faut-il exclure, les donneurs du corps humain (sang, organes, tissus et cellules), vaccinés contre le Covid-19."	4
"#Massachusetts VEx'n-ation
#vaccines 
https://t.co/xzPg8tDJ83"	4
910 nouveaux cas, des hospitalisations qui baissent, dès vaccinés de + en + nombreux ... et toujours pas d’espoir à l’horizon d’un retour à une vie sociale normale. Qu’attendez-vous ? https://t.co/ZYUoaX9opB	1
"Israël : 60% des joueurs et des coaches vaccinés
https://t.co/Wkc8uiCsCh"	3
"#COVID19 

Qui a les statistiques du taux de vaccinés qui meurent en relation avec le taux de décès de la population de référence ?"	2
@GuillaumeRozier pourquoi les statistiques de nombre de vaccinés ne sont plus mis a jour depuis le 26?  Les petits carrés verts n'avancent plus!	3
🎉 Mes deux parents ont été vaccinés 🎉	1
Je me suis plongée dans la musique de The Vaccines depuis 2j et j'adore. https://t.co/WEonmPCzJD	3
"Février 2037 : 

Nous avons vaccinés 640000 personnes depuis le début de cette campagne, nous remontons la pente #confinement3 #Castex18h #COVID19 https://t.co/6D18G0LcRY"	3
"Toujours privilégier les vaccins aux sérums. 
Au moins quand tu te vaccines tu peux anticiper.
C'est ce qui a manqué aux Ivoiriens pendant la période électorale"	1
Imaginez ils nous disent pour retourner au stade vous devrez être vaccinés ... finis pour moi le vélodrome mdr	3
"Les gens savent pas que eux même sont vaccinés. Vu qu'ils sont pas malades ils ont le temps d'inventer des problèmes ""graves"". #BTP"	3
Mettez le vaccin dans la bière et réouvrez les bars.... vous allez voir dans une semaine on est tous vaccinés https://t.co/mfMXtcU8Jp	1
Covid-19 - Des professionnels de santé vaccinés samedi à Maubeuge, Cousolre, Avesnes-sur-Helpe et Bavay https://t.co/WdC0zA3Q1F	3
En #Suisse, en tant que #soignant tu ne te vaccines pas, et bien, pas de prime... tu la sens la ségrégation là ?	2
"#Covid_19 : vaccin non-obligatoire mais on parle d'un passport Santé permettant aux seuls vaccinés d'accéder aux restos, bars, cinés, théatres... 
Histoire de culpabiliser ceux qui ne veulent pas : laisser à d'autres de jouer aux cobbayes et ne pas contribuer à l'utilité communes"	3
Mdr attendre j’ai entendu quoi à la télé ? Pas de voyages à ceux qui sont pas vaccinés ???	3
"Selon statistiques Canada, il y a 2,88 millions de Canadiens qui ont 75 ans et plus. 

Ça vous donne une idée sur qui on pourrait vacciner avec assez de doses pour 3 millions de personnes d'ici la fin mars. #covid19 #vaccin #polcan 

https://t.co/qVPQw2hsJ9"	3
JADO VA TE VACCINÉS CONTRE TA CONNERIE ET TON EXTRÉMISMES https://t.co/Fbwq5ml6cn	2
"Le Dr Fauci estime que les Américains ""de base"" (pas prioritaires) pourraient être vaccinés vers avril. (CNN) #vaccin"	1
